                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.67251,                0.36061,                0.88076,                0.99333,                0.99293,                0.99493,                0.79123,                 0.8884,                 0.4009,                0.92073,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66838,                0.36342,                0.87787,                0.99333,                0.99296,                0.99487,                0.79188,                0.86139,                0.38473,                0.91255,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.6581,                0.35734,                0.88552,                      1,                0.99306,                  0.995,                0.80306,                0.83041,                0.36475,                0.90281,              0.0003566,              0.0003566,              0.0003566
                     85,                0.65585,                 0.3518,                0.87902,                0.99331,                0.99333,                0.99493,                0.79817,                0.85633,                0.36633,                0.90809,              0.0003368,              0.0003368,              0.0003368
                     86,                0.65317,                0.35818,                0.87981,                      1,                0.99297,                  0.995,                0.81339,                0.80936,                 0.3571,                 0.9083,               0.000317,               0.000317,               0.000317
                     87,                0.65148,                0.34999,                0.87491,                      1,                0.99279,                  0.995,                0.80273,                0.85367,                0.37533,                0.91611,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64347,                0.34257,                0.87743,                0.99325,                0.99333,                0.99493,                0.79409,                0.88206,                   0.39,                0.92649,              0.0002774,              0.0002774,              0.0002774
                     89,                0.63636,                0.34222,                0.87669,                0.99292,                0.99333,                0.99487,                  0.796,                  0.855,                0.37556,                0.92084,              0.0002576,              0.0002576,              0.0002576
                     90,                0.60412,                0.30916,                0.86068,                0.99309,                0.99333,                  0.995,                0.79135,                0.87361,                0.37118,                 0.9261,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.5922,                0.30007,                 0.8526,                      1,                0.99282,                  0.995,                0.80922,                0.82503,                0.36483,                 0.9158,               0.000218,               0.000218,               0.000218
                     92,                 0.5989,                0.31073,                 0.8587,                      1,                0.99125,                  0.995,                0.80754,                  0.836,                0.37295,                0.91953,              0.0001982,              0.0001982,              0.0001982
                     93,                0.59262,                0.30512,                0.85184,                0.99312,                0.99333,                0.99493,                0.79956,                0.85406,                0.37624,                0.91657,              0.0001784,              0.0001784,              0.0001784
                     94,                0.58251,                0.30279,                0.84923,                0.99333,                0.99265,                0.99493,                0.80331,                0.83013,                0.37131,                0.90849,              0.0001586,              0.0001586,              0.0001586
                     95,                0.57884,                0.30523,                0.85189,                0.99333,                0.99288,                0.99493,                0.79101,                0.85998,                0.37561,                 0.9167,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57178,                0.29541,                0.84842,                0.99277,                0.99333,                0.99493,                0.80078,                0.84373,                0.36252,                0.91031,               0.000119,               0.000119,               0.000119
                     97,                0.57683,                0.30001,                0.85362,                      1,                0.99086,                  0.995,                0.79382,                0.86558,                0.37601,                0.92169,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.56866,                0.29278,                0.84734,                0.99883,                0.99333,                  0.995,                0.79118,                0.86241,                0.37267,                0.91948,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.55676,                0.28968,                0.85085,                 0.9982,                0.99333,                  0.995,                0.79786,                0.87372,                0.37639,                0.91888,               5.96e-05,               5.96e-05,               5.96e-05
